"","Security","Date","ROC","RSI","SO_SMA","CCI","Change"
"218","HDFC",2017-07-07,-2.9,31.5506329113924,23.5872797986731,-35.422,"GAIN"
"219","HDFC",2017-07-10,-3.4,33.4397955924625,27.522306108442,-19.932,"GAIN"
"220","HDFC",2017-07-11,-1.3,41.026458399745,32.475406085564,6.712,"LOSS"
"221","HDFC",2017-07-12,1.2,34.5694937117059,36.4227826285471,-16.401,"GAIN"
"222","HDFC",2017-07-13,2.3,46.9208211143695,49.8980400992202,33.862,"LOSS"
"223","HDFC",2017-07-14,1.1,62.015503875969,57.6090624525031,3.455,"LOSS"
"224","HDFC",2017-07-17,0.41,50.989010989011,56.4959568733154,-43.506,"LOSS"
"225","HDFC",2017-07-18,-1.8,40.5870445344129,58.1986580260366,-213.517,"GAIN"
"226","HDFC",2017-07-19,0.28,53.9236641221375,65.7723041042993,-15.425,"GAIN"
"227","HDFC",2017-07-20,0.61,52.3974763406941,78.7351558476586,66.237,"GAIN"
"228","HDFC",2017-07-21,1.6,54.0157480314961,79.0233968206937,26.836,"LOSS"
"229","HDFC",2017-07-24,0.17,49.4875549048316,75.2767362970898,2.832,"LOSS"
"230","HDFC",2017-07-25,-1.4,48.2443619754496,72.89769683985,-43.125,"GAIN"
"231","HDFC",2017-07-26,-0.74,49.6947835738069,71.4024281378325,-7.137,"LOSS"
"232","HDFC",2017-07-27,-2.7,43.2205612378704,69.5188359221567,-48.488,"LOSS"
"233","HDFC",2017-07-28,-2.3,41.8872870249017,68.8403856454205,-58.067,"GAIN"
"234","HDFC",2017-07-31,-3.3,39.0599230346344,67.3183360114265,-47.566,"LOSS"
"235","HDFC",2017-08-01,-2.8,40.9628134909195,67.3227995000892,-52.734,"LOSS"
"236","HDFC",2017-08-02,-2.3,31.0711124225436,66.2738796643456,-62.166,"LOSS"
"237","HDFC",2017-08-03,-0.96,32.3204419889503,64.7786109623281,-74.909,"GAIN"
"238","HDFC",2017-08-04,-1.9,43.2511356262167,64.5777539725049,-60.676,"LOSS"
"239","HDFC",2017-08-07,-4,42.4117085587019,46.365307523375,-69.28,"LOSS"
"240","HDFC",2017-08-08,-4.9,27.3923870508715,26.1474248100897,-80.396,"LOSS"
"241","HDFC",2017-08-09,-4.1,23.9837398373984,10.4252928663387,-96.926,"LOSS"
"242","HDFC",2017-08-10,-6.3,16.6573348264278,8.65331774138981,-131.065,"LOSS"
