"","Date","Open.Price","High.Price","Low.Price","Close.Price","WAP","No.of.Shares","No..of.Trades","Total.Turnover..Rs..","Deliverable.Quantity","X..Deli..Qty.to.Traded.Qty","Spread.High.Low","Spread.Close.Open","Security","Load.Type"
"153587","2015-03-26",1186,1245,1184,1216.05,"1200.60008140836",9827,1948,11798297,"3512","35.74",61,30.05,"HDFC","DUMP"
"153754","2015-03-25",1228.95,1238.15,1191.05,1195.8,"1208.5957909884",166785,1595,201575649,"161357","96.75",47.1,-33.15,"HDFC","DUMP"
"153924","2015-03-24",1248,1248,1211,1218.05,"1233.80154738878",7755,1213,9568131,"3218","41.5",37,-29.95,"HDFC","DUMP"
"154095","2015-03-23",1267.1,1275.05,1234.05,1244.45,"1249.09493670886",9006,1514,11249349,"3673","40.78",41,-22.65,"HDFC","DUMP"
"154265","2015-03-20",1282,1282,1259,1268.4,"1268.74809670095",7487,1516,9499117,"4122","55.06",23,-13.6,"HDFC","DUMP"
"154436","2015-03-19",1280.7,1315.95,1270.9,1278.25,"1294.17948717949",10335,1998,13375345,"2668","25.82",45.05,-2.45,"HDFC","DUMP"
"154607","2015-03-18",1284.3,1291.7,1265,1268.45,"1276.98201087714",7171,1235,9157238,"2099","29.27",26.7,-15.85,"HDFC","DUMP"
"154777","2015-03-17",1288,1295,1275,1281.95,"1284.21521258973",7244,1397,9302855,"3106","42.88",20,-6.05,"HDFC","DUMP"
"154947","2015-03-16",1349.45,1350,1282,1284.8,"1299.17243116185",11912,2039,15475742,"3791","31.83",68,-64.65,"HDFC","DUMP"
"155115","2015-03-13",1320,1356.25,1315,1320.35,"1334.71654544171",14161,2370,18900921,"3451","24.37",41.25,0.35,"HDFC","DUMP"
"155285","2015-03-12",1328.05,1336,1307.2,1318.75,"1319.87419958625",10151,1758,13398043,"4425","43.59",28.8,-9.3,"HDFC","DUMP"
"155456","2015-03-11",1336.2,1363.45,1306.8,1314,"1333.47832647462",14580,2694,19442114,"5116","35.09",56.65,-22.2,"HDFC","DUMP"
"155626","2015-03-10",1339.4,1362.4,1309,1329.45,"1335.5946659625",11361,1780,15173691,"4501","39.62",53.4,-9.95,"HDFC","DUMP"
"155796","2015-03-09",1385.8,1385.8,1336.25,1341.65,"1347.45079722983",6209,1147,8366322,"2778","44.74",49.55,-44.15,"HDFC","DUMP"
"155966","2015-03-05",1394.05,1397.45,1370,1375.75,"1380.71727653377",5493,959,7584280,"1778","32.37",27.45,-18.3,"HDFC","DUMP"
"156135","2015-03-04",1391.65,1406.95,1383.1,1385.8,"1394.8838954962",10258,1656,14308719,"3503","34.15",23.85,-5.85,"HDFC","DUMP"
"156306","2015-03-03",1409,1423.25,1380,1387.75,"1399.82971619366",11980,1730,16769960,"4938","41.22",43.25,-21.25,"HDFC","DUMP"
"156474","2015-03-02",1414.6,1421,1394,1402,"1404.4165437028",11521,1519,16180283,"5878","51.02",27,-12.6,"HDFC","DUMP"
"156644","2015-02-28",1415,1458,1384,1395.2,"1430.37659447646",25165,3824,35995427,"3484","13.84",74,-19.8,"HDFC","DUMP"
"156813","2015-02-27",1383,1415,1383,1407.2,"1407.67342505431",13810,1374,19439970,"7383","53.46",32,24.2,"HDFC","DUMP"
"156981","2015-02-26",1427.2,1429.7,1375.25,1381.3,"1401.36740406937",14646,2678,20524427,"4492","30.67",54.45,-45.9,"HDFC","DUMP"
"157151","2015-02-25",1380,1442.7,1380,1419.8,"1423.60123541524",29140,4826,41483740,"4649","15.95",62.7,39.8,"HDFC","DUMP"
"157321","2015-02-24",1406,1420.75,1371.1,1375.65,"1387.67001894768",6861,1422,9520804,"1883","27.44",49.65,-30.35,"HDFC","DUMP"
"157492","2015-02-23",1415.05,1445,1405.1,1414.85,"1424.87104751811",11322,2013,16132390,"3770","33.3",39.9,-0.2,"HDFC","DUMP"
"157663","2015-02-20",1430,1446.3,1407.85,1411.15,"1423.97872138311",10527,2247,14990224,"3282","31.18",38.45,-18.85,"HDFC","DUMP"
"157832","2015-02-19",1458,1525,1415,1428.35,"1472.43263412666",29748,4863,43801926,"5541","18.63",110,-29.65,"HDFC","DUMP"
"158000","2015-02-18",1405,1459.15,1405,1452.65,"1449.86138032003",96992,2389,140624955,"84228","86.84",54.15,47.65,"HDFC","DUMP"
"158169","2015-02-16",1381.8,1454.65,1372.5,1442.3,"1430.49478102514",45028,6958,64412319,"10110","22.45",82.15,60.5,"HDFC","DUMP"
